// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4A3D1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	GyrTemp_X	GyrTemp_Y	GyrTemp_Z
65119						-5.662661	0.758422	7.963948	0.065124	0.129818	-0.012468	-0.038017	0.074364	-0.040294	0.460005	0.279778	0.106733	-0.835899	5.495986	34.466735	-120.645011	-0.420239	-0.709313	-0.565928	0.828759	-0.554007	0.078963	-0.369537	-0.435834	0.820665			
65120						-5.643873	0.739318	7.991495	0.031112	0.107274	-0.001907	-0.032037	0.065907	-0.031534	0.459913	0.279956	0.107035	-0.835851	5.471724	34.503571	-120.657516	-0.420208	-0.708908	-0.566458	0.828769	-0.554046	0.078581	-0.369550	-0.436442	0.820336			
65121						-5.609852	0.733843	8.070385	-0.017667	0.044703	0.043162	-0.017026	0.064284	-0.019263	0.459824	0.280173	0.107272	-0.835797	5.457771	34.540497	-120.666161	-0.420129	-0.708531	-0.566989	0.828749	-0.554109	0.078346	-0.369684	-0.436976	0.819991			
65122						-5.602829	0.784849	8.062374	0.022504	0.009248	0.036625	-0.010499	0.063429	-0.012109	0.459784	0.280401	0.107452	-0.835720	5.453261	34.574915	-120.665492	-0.419947	-0.708242	-0.567483	0.828761	-0.554105	0.078249	-0.369865	-0.437447	0.819658			
65123						-5.533547	0.799199	8.045437	0.008864	-0.045912	-0.015457	-0.004102	0.063885	-0.001779	0.459750	0.280656	0.107609	-0.835633	5.453558	34.610658	-120.662063	-0.419724	-0.707963	-0.567997	0.828767	-0.554100	0.078220	-0.370104	-0.437906	0.819305			
65124						-5.532764	0.937180	8.100390	0.099259	-0.151911	0.039884	-0.008469	0.065664	-0.000085	0.459756	0.280904	0.107769	-0.835526	5.455002	34.645709	-120.652983	-0.419434	-0.707730	-0.568500	0.828821	-0.554021	0.078208	-0.370311	-0.438382	0.818957			
65125						-5.561630	0.930323	8.093220	0.105237	-0.130260	0.049837	-0.009315	0.069908	-0.000472	0.459732	0.281172	0.107960	-0.835424	5.453062	34.684813	-120.648241	-0.419178	-0.707431	-0.569062	0.828853	-0.553983	0.078143	-0.370531	-0.438912	0.818574			
65126						-5.507258	0.974293	8.119698	0.105659	-0.210374	0.043945	-0.006141	0.073016	-0.008097	0.459697	0.281453	0.108138	-0.835326	5.452972	34.724491	-120.644173	-0.418927	-0.707122	-0.569631	0.828865	-0.553970	0.078104	-0.370788	-0.439427	0.818181			
65127						-5.507007	0.929475	8.147281	0.054668	-0.204607	0.062756	-0.004117	0.082826	-0.011939	0.459610	0.281780	0.108353	-0.835235	5.449970	34.771585	-120.646528	-0.418717	-0.706701	-0.570306	0.828829	-0.554036	0.078017	-0.371105	-0.440019	0.817719			
65128						-5.297626	0.939623	8.206168	-0.050728	-0.391584	-0.007943	-0.003397	0.098836	-0.018537	0.459514	0.282169	0.108594	-0.835126	5.448333	34.826500	-120.647959	-0.418456	-0.706220	-0.571093	0.828787	-0.554109	0.077941	-0.371492	-0.440700	0.817177			
65129						-5.323903	1.049982	8.282888	0.018189	-0.478273	0.077891	-0.010112	0.132789	-0.021625	0.459368	0.282686	0.108963	-0.834983	5.439930	34.902615	-120.653744	-0.418140	-0.705525	-0.572183	0.828733	-0.554217	0.077750	-0.371968	-0.441677	0.816432			
65130						-5.476626	0.989366	8.131319	0.082525	-0.282121	0.036384	-0.014545	0.142140	-0.035832	0.459193	0.283219	0.109373	-0.834845	5.426676	34.983044	-120.664159	-0.417858	-0.704757	-0.573334	0.828663	-0.554359	0.077485	-0.372441	-0.442723	0.815650			
65131						-5.596479	0.667309	8.043303	-0.106958	0.006376	0.008163	-0.015580	0.147858	-0.030888	0.459007	0.283781	0.109812	-0.834699	5.411966	35.068251	-120.675447	-0.417562	-0.703941	-0.574552	0.828591	-0.554507	0.077195	-0.372934	-0.443835	0.814820			
65132						-5.614631	0.568472	8.071026	-0.198599	0.048702	0.033473	-0.002664	0.157348	-0.012985	0.458902	0.284416	0.110175	-0.834492	5.415175	35.156084	-120.668973	-0.417032	-0.703230	-0.575806	0.828572	-0.554540	0.077157	-0.373567	-0.444920	0.813938			
65133						-5.645442	0.539115	8.062251	-0.215856	0.077668	0.041698	0.010726	0.165049	0.009477	0.458838	0.285132	0.110487	-0.834242	5.432400	35.248909	-120.650958	-0.416335	-0.702557	-0.577130	0.828570	-0.554521	0.077314	-0.374348	-0.446004	0.812985			
65134						-5.567715	0.628867	8.134321	-0.213170	-0.070760	0.062110	0.036122	0.184177	0.033250	0.458855	0.285993	0.110685	-0.833912	5.477423	35.349513	-120.610404	-0.415321	-0.701978	-0.578563	0.828599	-0.554403	0.077856	-0.375410	-0.447061	0.811914			
65135						-5.559358	0.781771	8.209526	-0.133052	-0.207662	0.129801	0.041283	0.199571	0.040195	0.458855	0.286940	0.110904	-0.833558	5.526126	35.460316	-120.568364	-0.414236	-0.701318	-0.580139	0.828609	-0.554305	0.078438	-0.376584	-0.448217	0.810732			
65136						-5.607816	0.747847	8.296560	-0.191643	-0.207063	0.225247	0.064219	0.228467	0.052097	0.458885	0.288059	0.111060	-0.833134	5.596876	35.585036	-120.511190	-0.412894	-0.700642	-0.581911	0.828609	-0.554181	0.079315	-0.378055	-0.449428	0.809376			
65137						-5.600303	0.639787	8.302947	-0.307849	-0.170344	0.216659	0.078427	0.259433	0.061955	0.458888	0.289351	0.111230	-0.832662	5.678596	35.728663	-120.449273	-0.411396	-0.699828	-0.583947	0.828566	-0.554100	0.080325	-0.379779	-0.450793	0.807808			
65138						-5.601550	0.578400	8.275625	-0.373259	-0.138726	0.189274	0.114868	0.291583	0.080329	0.458925	0.290863	0.111278	-0.832108	5.793202	35.887494	-120.367223	-0.409573	-0.699017	-0.586196	0.828484	-0.554010	0.081777	-0.381922	-0.452160	0.806032			
65139						-5.712936	0.665852	8.205068	-0.257844	-0.094297	0.203732	0.133195	0.321097	0.092841	0.458940	0.292553	0.111317	-0.831502	5.922526	36.064264	-120.278163	-0.407573	-0.698087	-0.588692	0.828352	-0.553965	0.083409	-0.384342	-0.453649	0.804042			
65140						-5.720072	0.490006	8.214911	-0.437864	-0.013729	0.199907	0.156005	0.348360	0.111416	0.459013	0.294410	0.111279	-0.830811	6.077081	36.253219	-120.168676	-0.405260	-0.697183	-0.591355	0.828229	-0.553848	0.085372	-0.387040	-0.455180	0.801880			
65141						-5.761957	0.478409	8.169840	-0.450642	0.024273	0.185886	0.185228	0.373628	0.136236	0.459100	0.296460	0.111157	-0.830050	6.258228	36.456846	-120.043285	-0.402678	-0.696244	-0.594217	0.828059	-0.553743	0.087677	-0.390088	-0.456741	0.799512			
65142						-5.841482	0.411627	8.123403	-0.497977	0.120275	0.188282	0.204765	0.396570	0.173434	0.459326	0.298659	0.110937	-0.829165	6.470826	36.668796	-119.884007	-0.399643	-0.695450	-0.597188	0.827980	-0.553424	0.090395	-0.393364	-0.458334	0.796991			
65143						-5.874308	0.320296	8.266795	-0.664333	0.110100	0.311357	0.231024	0.425834	0.223921	0.459674	0.301076	0.110613	-0.828141	6.720396	36.895604	-119.689418	-0.396105	-0.694744	-0.600359	0.827956	-0.552929	0.093588	-0.396975	-0.460000	0.794236			
65144						-5.841936	0.169705	8.381695	-0.903525	0.097372	0.364916	0.238754	0.535295	0.301974	0.460298	0.303994	0.110377	-0.826759	7.017577	37.176452	-119.423565	-0.391427	-0.694003	-0.604272	0.828219	-0.551885	0.097345	-0.401047	-0.462366	0.790809			
65145						-6.479689	0.150398	7.761776	-0.491872	0.810320	0.254835	0.328150	0.683839	0.377321	0.460980	0.307779	0.110010	-0.825026	7.407841	37.537187	-119.091383	-0.385539	-0.692923	-0.609276	0.828358	-0.550791	0.102237	-0.406426	-0.465283	0.786340			
65146						-7.413271	0.207511	7.250491	0.036853	1.637048	0.428759	0.384224	0.701817	0.467945	0.461958	0.311799	0.109302	-0.823061	7.877402	37.897141	-118.683495	-0.378752	-0.692278	-0.614246	0.828600	-0.549296	0.108151	-0.412273	-0.468001	0.781668			
65147						-8.818822	-0.046865	6.487322	0.578653	3.093124	0.673309	0.430411	0.528111	0.559422	0.463298	0.315267	0.107868	-0.821173	8.406598	38.150440	-118.225853	-0.371923	-0.692882	-0.617728	0.828911	-0.547438	0.114968	-0.417827	-0.469283	0.777942			
65148						-9.599050	0.664922	5.807736	1.651974	3.580123	0.711888	0.398355	0.173902	0.699945	0.465465	0.317270	0.105514	-0.819481	8.960466	38.186278	-117.699589	-0.365363	-0.695926	-0.618220	0.829833	-0.544417	0.122423	-0.421767	-0.468291	0.776413			
65149						-10.974706	0.488070	5.384863	2.104661	4.892271	1.201580	0.192508	-0.225165	0.936600	0.469113	0.317284	0.102705	-0.817750	9.470568	37.972139	-117.052460	-0.358528	-0.702061	-0.615278	0.832408	-0.538769	0.129709	-0.422557	-0.465658	0.777566			
65150						-11.568925	-1.462538	3.954727	1.214879	7.122291	0.157968	0.156281	-0.531190	1.158580	0.473865	0.316073	0.098967	-0.815938	10.029002	37.559555	-116.289412	-0.351100	-0.710728	-0.609586	0.835851	-0.531315	0.138050	-0.421998	-0.461054	0.780607			
65151						-12.960070	-0.815650	3.510777	2.330052	8.099067	0.671908	0.470806	-0.643972	1.301183	0.478736	0.315193	0.093452	-0.814083	10.807637	37.060986	-115.451006	-0.342929	-0.720552	-0.602665	0.838373	-0.524157	0.149634	-0.423710	-0.453944	0.783840			
65152						-12.374699	2.921910	4.452000	4.771594	5.459414	1.541338	0.379081	-0.943460	1.231799	0.483544	0.312853	0.087698	-0.812784	11.465255	36.396900	-114.720740	-0.336617	-0.731160	-0.593375	0.840906	-0.516989	0.159998	-0.423753	-0.445115	0.788864			
65153						-11.312412	3.794606	5.388921	4.735802	3.999898	1.719002	-0.478507	-1.237305	0.843822	0.488251	0.307026	0.085319	-0.812445	11.434043	35.605249	-114.308588	-0.334692	-0.740964	-0.582197	0.845744	-0.508663	0.161178	-0.415570	-0.438445	0.796911			
65154						-9.641965	0.083695	5.154989	1.200291	4.889460	-0.107064	-1.156044	-1.310276	0.442504	0.492306	0.299107	0.086123	-0.812867	10.847537	34.824573	-114.187175	-0.336340	-0.748839	-0.571066	0.851878	-0.500435	0.154491	-0.401470	-0.434517	0.806236			
65155						-8.996836	-2.842268	4.711231	-1.241628	6.137346	-1.326955	-1.246016	-1.234363	0.111287	0.495136	0.291057	0.087969	-0.813872	10.089353	34.116678	-114.266602	-0.340252	-0.754747	-0.560880	0.857163	-0.494203	0.145034	-0.386653	-0.431418	0.815094			
65156						-8.518469	-3.602213	4.588143	-1.913716	6.247742	-1.819327	-0.999605	-1.095619	-0.230736	0.496042	0.284078	0.089659	-0.815600	9.359956	33.527467	-114.559445	-0.346484	-0.758204	-0.552337	0.860084	-0.491807	0.135577	-0.374438	-0.428081	0.822522			
65157						-8.049884	-3.951886	4.574607	-2.268516	6.105416	-2.136639	-0.641188	-0.933235	-0.598910	0.494921	0.278405	0.090799	-0.818107	8.715819	33.052474	-115.064950	-0.355087	-0.759239	-0.545407	0.860354	-0.493618	0.127011	-0.365654	-0.424143	0.828492			
65158						-8.069931	-3.586235	4.696662	-1.876660	5.918949	-1.971360	-0.256590	-0.738400	-0.956396	0.491592	0.274383	0.091367	-0.821403	8.177863	32.723758	-115.796070	-0.366102	-0.757451	-0.540589	0.857730	-0.499978	0.119670	-0.360927	-0.419868	0.832732			
65159						-8.699738	-3.014635	4.950904	-1.119351	6.027692	-1.345261	0.091874	-0.579469	-1.292857	0.486411	0.271629	0.091328	-0.825398	7.732667	32.496645	-116.721144	-0.379244	-0.753350	-0.537250	0.852579	-0.510128	0.113484	-0.359559	-0.415010	0.835753			
65160						-9.287236	-2.379818	5.256139	-0.318446	6.030263	-0.698094	0.348106	-0.516676	-1.583719	0.479499	0.269690	0.090813	-0.830121	7.333893	32.333055	-117.847716	-0.394697	-0.747101	-0.534840	0.845067	-0.523668	0.107859	-0.360661	-0.409404	0.838041			
65161						-8.991314	-1.809382	5.470196	0.125297	5.422693	-0.613922	0.544143	-0.481937	-1.832959	0.471355	0.268146	0.089857	-0.835373	6.967129	32.189002	-119.120248	-0.411845	-0.739324	-0.532714	0.835704	-0.539501	0.102656	-0.363295	-0.402913	0.840046			
65162						-8.541549	-1.544276	5.442363	0.327184	4.944704	-0.845912	0.695842	-0.404651	-2.040521	0.461905	0.267251	0.088765	-0.841036	6.615205	32.109403	-120.542365	-0.430442	-0.729512	-0.531538	0.824402	-0.557530	0.097579	-0.367533	-0.396199	0.841395			
65163						-8.094041	-1.419602	5.399393	0.399205	4.543338	-1.101818	0.849570	-0.272520	-2.183941	0.451676	0.267077	0.087466	-0.846763	6.311861	32.094342	-122.030509	-0.449317	-0.718205	-0.531315	0.811646	-0.576676	0.093138	-0.373289	-0.389391	0.842039			
65164						-8.074094	-1.264264	5.605544	0.573663	4.322058	-0.913210	1.007025	-0.109283	-2.282137	0.440514	0.267964	0.086042	-0.852490	6.062606	32.186597	-123.595178	-0.468286	-0.704955	-0.532678	0.797180	-0.597089	0.089384	-0.381068	-0.382783	0.841584			
65165						-8.408043	-0.750305	5.990462	1.112897	4.049097	-0.351789	1.121507	0.038754	-2.354718	0.428922	0.269561	0.084485	-0.858035	5.860358	32.348065	-125.179025	-0.486725	-0.690513	-0.535061	0.781609	-0.617776	0.086259	-0.390111	-0.376224	0.840398			
65166						-8.770864	-0.188488	6.369506	1.688694	3.727548	0.226551	1.158535	0.116048	-2.411449	0.416741	0.271601	0.083058	-0.863517	5.647256	32.567357	-126.824425	-0.505120	-0.674608	-0.538291	0.764843	-0.638857	0.082931	-0.399836	-0.369818	0.838669			
65167						-8.811465	-0.037244	6.754442	1.768994	3.420435	0.600548	1.151138	0.148053	-2.442165	0.404536	0.273597	0.081696	-0.868805	5.419677	32.786004	-128.468979	-0.522991	-0.658221	-0.541503	0.747628	-0.659354	0.079404	-0.409307	-0.363315	0.836941			
65168						-8.612504	0.044321	6.984805	1.721323	3.046868	0.709519	1.106365	0.174544	-2.437736	0.392121	0.275679	0.080626	-0.873923	5.151440	33.029767	-130.141049	-0.540485	-0.640913	-0.545075	0.729821	-0.679481	0.075278	-0.418614	-0.357120	0.835001			
65169						-8.311680	0.278112	7.049997	1.780044	2.565926	0.632879	1.024430	0.214911	-2.407634	0.380069	0.277630	0.079873	-0.878686	4.848768	33.271978	-131.769297	-0.556938	-0.623573	-0.548614	0.712274	-0.698335	0.070670	-0.427184	-0.351405	0.833084			
65170						-8.047947	0.555467	7.146556	1.852862	2.055497	0.603244	0.929411	0.299967	-2.373809	0.367982	0.279854	0.079707	-0.883130	4.486614	33.570054	-133.405119	-0.572543	-0.605338	-0.552956	0.694564	-0.716473	0.065179	-0.435633	-0.346746	0.830657			
65171						-7.849079	0.663021	7.159857	1.857888	1.729326	0.524977	0.812784	0.391619	-2.331520	0.356366	0.282125	0.080086	-0.887128	4.074961	33.892867	-134.986480	-0.586818	-0.587095	-0.557642	0.677472	-0.733180	0.058987	-0.443483	-0.343172	0.827983			
65172						-7.855229	0.588033	7.320537	1.779918	1.595995	0.671761	0.715586	0.483072	-2.283900	0.344779	0.284722	0.081048	-0.890782	3.603679	34.273028	-136.570484	-0.600122	-0.568093	-0.563137	0.660397	-0.749118	0.051941	-0.451363	-0.340723	0.824730			
65173						-7.718795	0.447965	7.469298	1.570992	1.435997	0.724823	0.647625	0.554434	-2.216325	0.333737	0.287387	0.082259	-0.894014	3.118267	34.663970	-138.085237	-0.612056	-0.549451	-0.568762	0.644012	-0.763706	0.044742	-0.458951	-0.338905	0.821284			
65174						-7.639380	0.512093	7.588327	1.530440	1.160937	0.794546	0.601754	0.618592	-2.141774	0.322788	0.290374	0.083733	-0.896928	2.609589	35.095752	-139.588960	-0.622983	-0.530407	-0.574945	0.627663	-0.777594	0.037252	-0.466832	-0.337664	0.817344			
65175						-7.540921	0.753260	7.800876	1.530172	0.708026	0.931711	0.542923	0.676678	-2.077617	0.312379	0.293394	0.085393	-0.899471	2.090350	35.531344	-141.026790	-0.632679	-0.511844	-0.581148	0.612059	-0.790255	0.029684	-0.474449	-0.336917	0.813256			
65176						-7.308083	0.919763	7.857228	1.454049	0.288637	0.854584	0.463673	0.728204	-2.042769	0.301942	0.296622	0.087495	-0.901771	1.510420	36.001523	-142.484723	-0.641693	-0.492660	-0.587807	0.596472	-0.802351	0.021324	-0.482133	-0.336927	0.808720			
65177						-7.268433	0.814304	8.030650	1.271256	0.146133	0.973655	0.415491	0.788870	-2.028573	0.291816	0.299898	0.089807	-0.903792	0.904748	36.477336	-143.913398	-0.649809	-0.473616	-0.594505	0.581348	-0.813556	0.012697	-0.489676	-0.337364	0.803992			
65178						-7.299913	0.742653	8.075494	1.210324	0.049084	1.030958	0.429017	0.815702	-2.021473	0.281414	0.303403	0.092141	-0.905684	0.276981	36.972659	-145.385330	-0.657506	-0.453832	-0.601434	0.565655	-0.824633	0.003862	-0.497715	-0.337665	0.798913			
65179						-7.261827	0.860959	8.150183	1.191699	-0.241594	1.069426	0.482524	0.828657	-2.048911	0.271003	0.306869	0.094215	-0.907476	-0.337111	37.446285	-146.859416	-0.664777	-0.434034	-0.608017	0.549681	-0.835361	-0.004671	-0.505887	-0.337321	0.793910			
65180						-7.069562	0.962312	8.042430	1.141690	-0.525507	0.864575	0.544898	0.830255	-2.099563	0.259992	0.310483	0.096138	-0.909265	-0.972155	37.923763	-148.419740	-0.672009	-0.413104	-0.614612	0.532501	-0.846324	-0.013384	-0.514632	-0.336275	0.788716			
65181						-6.686000	1.033360	7.874318	0.969475	-0.830059	0.489966	0.620619	0.854778	-2.163441	0.248762	0.314111	0.097770	-0.910984	-1.597779	38.385080	-150.009452	-0.678903	-0.391816	-0.620944	0.514658	-0.857117	-0.021856	-0.523658	-0.334412	0.783550			
65182						-6.481140	1.068346	7.665628	0.907812	-1.010468	0.190387	0.721036	0.896792	-2.229490	0.236780	0.318094	0.099147	-0.912645	-2.233053	38.870773	-151.699324	-0.685503	-0.369116	-0.627566	0.495268	-0.868210	-0.030336	-0.533662	-0.331609	0.777972			
65183						-6.436501	1.330407	7.672818	0.943201	-1.390950	0.149462	0.813973	0.931794	-2.295368	0.224528	0.322142	0.100169	-0.914209	-2.852963	39.345290	-153.422869	-0.691623	-0.345994	-0.633992	0.475069	-0.879106	-0.038491	-0.544029	-0.327812	0.772381			
65184						-6.707228	1.648927	7.796708	1.140526	-1.758759	0.390172	0.877149	0.913859	-2.352641	0.211652	0.326209	0.101015	-0.915744	-3.501859	39.807339	-155.240200	-0.697582	-0.321734	-0.640208	0.453543	-0.889998	-0.046922	-0.554688	-0.323094	0.766767			
65185						-6.690919	1.843972	7.784031	1.146182	-2.072479	0.343528	0.928656	0.858369	-2.407057	0.198662	0.329874	0.101579	-0.917278	-4.151222	40.205550	-157.079389	-0.703433	-0.297440	-0.645532	0.431474	-0.900430	-0.055286	-0.564812	-0.317420	0.761730			
65186						-6.528494	1.972140	7.713047	1.044229	-2.349717	0.156672	0.996494	0.772457	-2.450965	0.185144	0.333238	0.101854	-0.918858	-4.815416	40.549995	-158.995466	-0.709349	-0.272358	-0.650111	0.408125	-0.910695	-0.063785	-0.574681	-0.310572	0.757157			
65187						-6.262437	2.209863	7.693403	0.879975	-2.753650	-0.069415	1.075430	0.683412	-2.474001	0.171618	0.336078	0.101649	-0.920471	-5.441858	40.812826	-160.903204	-0.715197	-0.247614	-0.653590	0.384263	-0.920429	-0.071776	-0.583811	-0.302485	0.753438			
65188						-6.019969	2.450119	7.673534	0.719353	-3.139003	-0.286207	1.147001	0.591375	-2.479629	0.157750	0.338593	0.101075	-0.922092	-6.054246	41.019550	-162.850409	-0.720940	-0.222473	-0.656317	0.359367	-0.929797	-0.079576	-0.592538	-0.293228	0.750278			
65189						-5.757380	2.690365	7.644045	0.542499	-3.504886	-0.526298	1.198092	0.467807	-2.458865	0.144132	0.340417	0.100065	-0.923758	-6.612928	41.130078	-164.746948	-0.726685	-0.198159	-0.657771	0.334414	-0.938426	-0.086742	-0.600081	-0.283001	0.748207			
65190						-5.403006	2.963997	7.655546	0.275112	-3.914892	-0.802588	1.218868	0.336820	-2.446673	0.130379	0.341689	0.098869	-0.925459	-7.165200	41.164200	-166.655563	-0.732500	-0.173756	-0.658219	0.308885	-0.946453	-0.093901	-0.606658	-0.272096	0.746947			
65191						-4.883943	2.687388	7.550705	-0.213534	-3.773038	-1.221651	1.269097	0.223149	-2.428163	0.116850	0.342314	0.097272	-0.927203	-7.656519	41.111087	-168.509202	-0.738335	-0.150092	-0.657521	0.283283	-0.953768	-0.100383	-0.612056	-0.260381	0.746719			
65192						-4.450627	2.331998	7.545586	-0.709111	-3.533300	-1.494355	1.384939	0.117974	-2.412270	0.103051	0.342549	0.095072	-0.928979	-8.076771	40.998264	-170.364205	-0.744081	-0.126330	-0.656036	0.256597	-0.960684	-0.106039	-0.616847	-0.247239	0.747243			
65193						-4.126354	2.185976	7.585761	-1.081532	-3.453704	-1.673222	1.532045	0.035389	-2.410848	0.089199	0.342319	0.092084	-0.930796	-8.385003	40.820128	-172.176881	-0.749722	-0.103007	-0.653686	0.229096	-0.967128	-0.110355	-0.620831	-0.232493	0.748676			
65194						-4.124633	1.730167	7.694954	-1.315747	-3.029320	-1.547690	1.688619	-0.068846	-2.444826	0.074793	0.341664	0.088398	-0.932662	-8.616354	40.582065	-174.021174	-0.755344	-0.079108	-0.650537	0.199917	-0.973184	-0.113783	-0.624091	-0.215998	0.750903			
65195						-4.372480	1.060337	7.829429	-1.383003	-2.361454	-1.207249	1.859532	-0.189367	-2.517361	0.059949	0.340319	0.083936	-0.934636	-8.750169	40.256604	-175.872404	-0.761179	-0.054930	-0.646212	0.169191	-0.978722	-0.116096	-0.626084	-0.197703	0.754276			
65196						-4.923950	0.592245	7.912335	-1.103966	-1.860018	-0.728493	2.010888	-0.331427	-2.648352	0.044136	0.338279	0.078962	-0.936688	-8.845464	39.843536	-177.815862	-0.767239	-0.029262	-0.640693	0.136106	-0.983634	-0.118064	-0.626753	-0.177785	0.758665			
65197						-5.376575	0.481150	7.895785	-0.744190	-1.712398	-0.432054	2.093779	-0.488781	-2.860675	0.027381	0.335265	0.073865	-0.938825	-8.947513	39.312906	-179.860581	-0.773695	-0.001883	-0.633555	0.100940	-0.987589	-0.120333	-0.625465	-0.157052	0.764283			
65198						-5.809529	0.190766	7.685127	-0.267182	-1.392426	-0.281806	2.145229	-0.619520	-3.142989	0.009119	0.331484	0.068992	-0.940891	-9.124181	38.685055	177.901825	-0.780070	0.028579	-0.625039	0.062900	-0.990314	-0.123782	-0.622522	-0.135874	0.770717			
65199						-5.873114	0.491184	7.375930	0.044978	-1.676166	-0.521445	2.202087	-0.708020	-3.486432	-0.010692	0.326976	0.064355	-0.942778	-9.368335	37.963176	175.471762	-0.785945	0.062245	-0.615155	0.021925	-0.991488	-0.128337	-0.617907	-0.114354	0.777891			
65200						-5.792924	0.260467	7.030709	0.241019	-1.454915	-0.819288	2.262841	-0.735590	-3.830065	-0.032333	0.322122	0.060001	-0.944241	-9.693700	37.188729	172.809548	-0.790384	0.099715	-0.604442	-0.022405	-0.990709	-0.134141	-0.612202	-0.092480	0.785274			
